MMV Code,OSM Code,SMILES,InChI,InChI Key
MMV1794642,OSM-S-690,FC(F)C1(C2)CC2(COC3=CN=CC4=NN=C(C5=CC=C(OC(F)F)C=C5)N43)C1,"InChI=1S/C19H16F4N4O2/c20-16(21)19-7-18(8-19,9-19)10-28-14-6-24-5-13-25-26-15(27(13)14)11-1-3-12(4-2-11)29-17(22)23/h1-6,16-17H,7-10H2",PXXUWBAUMUWHOT-UHFFFAOYSA-N
MMV1794631,OSM-LO-2,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(CO)C4=C(F)C=CC=C4)N32,"InChI=1S/C21H17F3N4O3/c22-17-4-2-1-3-16(17)14(11-29)12-30-19-10-25-9-18-26-27-20(28(18)19)13-5-7-15(8-6-13)31-21(23)24/h1-10,14,21,29H,11-12H2",ABSBXVNECYEKEY-UHFFFAOYSA-N
MMV1794643,OSM-LO-7,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(CO)C4=C(F)C=C(F)C=C4F)N32,"InChI=1S/C21H15F5N4O3/c22-13-5-15(23)19(16(24)6-13)12(9-31)10-32-18-8-27-7-17-28-29-20(30(17)18)11-1-3-14(4-2-11)33-21(25)26/h1-8,12,21,31H,9-10H2",UTKUNEDKHGJWFZ-UHFFFAOYSA-N
MMV1794637,OSM-LO-8,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(CO)C4=C(F)C=C(F)C(F)=C4)N32,"InChI=1S/C21H15F5N4O3/c22-15-6-17(24)16(23)5-14(15)12(9-31)10-32-19-8-27-7-18-28-29-20(30(18)19)11-1-3-13(4-2-11)33-21(25)26/h1-8,12,21,31H,9-10H2",VNWHTGHTARECMP-UHFFFAOYSA-N
MMV1794635,OSM-LO-6,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(CO)C4=CC(C(F)(F)F)=CC=C4)N32,"InChI=1S/C22H17F5N4O3/c23-21(24)34-17-6-4-13(5-7-17)20-30-29-18-9-28-10-19(31(18)20)33-12-15(11-32)14-2-1-3-16(8-14)22(25,26)27/h1-10,15,21,32H,11-12H2",RSUSOBALBASKRU-UHFFFAOYSA-N
MMV1794633,OSM-LO-4,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(CO)C4=C(OC)C=CC=C4)N32,"InChI=1S/C22H20F2N4O4/c1-30-18-5-3-2-4-17(18)15(12-29)13-31-20-11-25-10-19-26-27-21(28(19)20)14-6-8-16(9-7-14)32-22(23)24/h2-11,15,22,29H,12-13H2,1H3",UTULOEBHNZHAOG-UHFFFAOYSA-N
MMV1794634,OSM-LO-5,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(CO)C4=CC(OC)=CC=C4)N32,"InChI=1S/C22H20F2N4O4/c1-30-18-4-2-3-15(9-18)16(12-29)13-31-20-11-25-10-19-26-27-21(28(19)20)14-5-7-17(8-6-14)32-22(23)24/h2-11,16,22,29H,12-13H2,1H3",JHTYHNMJMLESBY-UHFFFAOYSA-N
MMV1794639,OSM-LO-10,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(CO)C4=CC=C(OC)C=C4)N32,"InChI=1S/C22H20F2N4O4/c1-30-17-6-2-14(3-7-17)16(12-29)13-31-20-11-25-10-19-26-27-21(28(19)20)15-4-8-18(9-5-15)32-22(23)24/h2-11,16,22,29H,12-13H2,1H3",WPBMLSOEVMUHGX-UHFFFAOYSA-N
MMV1794643,OSM-LO-14,FC(F)OC(C=C1)=CC=C1C2=NN=C3C(OCC(CO)C4=CC=CC=C4)=NC=CN32,"InChI=1S/C21H18F2N4O3/c22-21(23)30-17-8-6-15(7-9-17)18-25-26-19-20(24-10-11-27(18)19)29-13-16(12-28)14-4-2-1-3-5-14/h1-11,16,21,28H,12-13H2",HFXALRWXEQXCJL-UHFFFAOYSA-N
MMV1794638,OSM-LO-9,FC(F)OC(C=C1)=CC=C1C2=NN=C3C(OCC(CO)C4=CC(F)=C(F)C=C4F)=NC=CN32,"InChI=1S/C21H15F5N4O3/c22-15-8-17(24)16(23)7-14(15)12(9-31)10-32-20-19-29-28-18(30(19)6-5-27-20)11-1-3-13(4-2-11)33-21(25)26/h1-8,12,21,31H,9-10H2",NEIRZOMSGQEPFH-UHFFFAOYSA-N
MMV1794640,OSM-LO-11,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C(O)=O)C4=C(F)C=C(F)C=C4F)N32,"InChI=1S/C21H13F5N4O4/c22-11-5-14(23)18(15(24)6-11)13(20(31)32)9-33-17-8-27-7-16-28-29-19(30(16)17)10-1-3-12(4-2-10)34-21(25)26/h1-8,13,21H,9H2,(H,31,32)",OTUKSSDCGFNGTE-UHFFFAOYSA-N
MMV1794641,OSM-LO-12,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC(C(O)=O)C4=CC=C(OC)C=C4)N32,"InChI=1S/C22H18F2N4O5/c1-31-15-6-2-13(3-7-15)17(21(29)30)12-32-19-11-25-10-18-26-27-20(28(18)19)14-4-8-16(9-5-14)33-22(23)24/h2-11,17,22H,12H2,1H3,(H,29,30)",BGONQZJCXFSVTQ-UHFFFAOYSA-N
MMV1581295,OSM-S-556,OCC(C1=CC=CC=C1)(O)COC2=CN=CC(N23)=NN=C3C4=CC=C(OC(F)F)C=C4,"InChI=1S/C21H18F2N4O4/c22-20(23)31-16-8-6-14(7-9-16)19-26-25-17-10-24-11-18(27(17)19)30-13-21(29,12-28)15-4-2-1-3-5-15/h1-11,20,28-29H,12-13H2",LVBNVRWXODMMAV-UHFFFAOYSA-N
MMV1794865,OSM-S-666,CC1=CC=C(C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32)C=C1,"InChI=1S/C20H18N4O/c1-15-7-9-17(10-8-15)20-23-22-18-13-21-14-19(24(18)20)25-12-11-16-5-3-2-4-6-16/h2-10,13-14H,11-12H2,1H3",SXWAAPADJHJBSD-UHFFFAOYSA-N
MMV1794866,OSM-S-670,COC1=C(C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32)C=CC=C1,"InChI=1S/C20H18N4O2/c1-25-17-10-6-5-9-16(17)20-23-22-18-13-21-14-19(24(18)20)26-12-11-15-7-3-2-4-8-15/h2-10,13-14H,11-12H2,1H3",WZBPFRAHGWVSIJ-UHFFFAOYSA-N
MMV1794867,OSM-S-668,C1(CCOC2=CN=CC(N23)=NN=C3C4=CC5=C(OCC5)C=C4)=CC=CC=C1,"InChI=1S/C21H18N4O2/c1-2-4-15(5-3-1)8-10-27-20-14-22-13-19-23-24-21(25(19)20)17-6-7-18-16(12-17)9-11-26-18/h1-7,12-14H,8-11H2",CZAGUUPDYUFYFD-UHFFFAOYSA-N
